comment,polarity
অসাধারণ লাগলো boss এরকম নাটক আরো চাই....?,Positive
ভালো  লাগছে,Positive
মা বাবার ভালবাসার কাছে নিজের ভালবাসা এভাবেই হারিয়ে যায়......,Positive
নাটকে নিশো ভাইয়ের নামায পড়ার বিষয়টা কিন্তুু আমার কাছে ভীষন ভালো লাগছে ,Positive
অনেক ভালো লাগলো ,Positive
তিশার দুধ বড হয়ে গেসে,Negative
মজা পায়লাম আমার এখনিই বাচ্চা লাগবে,Positive
দারুন বস ,Positive
অপূর্বর নাটক আমার খুব ভালো লাগে,Positive
just wowঅসাধারন একটা নাটক,Positive
খুবই খুবই ভাল আর কিছু বলার নেই! Lovely,Positive
সেই রকম গুহুর দেইতে চাই  তাকে দিয়েগুহুর,Negative
অনেক ধন্যবাদ এতো সোনদর গান উপহার দেয়ার জন্য ধন্যবাদ মিনার ভাই কে,Positive
খুব ভালো লেগেছে ,Positive
মোশাররফ করিমের শেষের শুরু ,Negative
নামাজের দৃশ্য দেখে ভালো লাগলো,Positive
অস্হির নাটক বাস্তব কাহিনী এই ঈদের সেরা নাটক ,Positive
সত্যি বলতে অসধারন! অপূর্বর সব নাটক দেখার মতো ! All the best   অপূর্ব,Positive
শাহানাজ খুশির পুরো পরিবার এই নাটকে আছে মেজ ভাই যিনি ওনি শাহানাজ খুশির স্বামী আর যে দুইজন ভাইয়ের ছেলে ওরা তার নিজের জমজ ছেলে     তারা বাস্তবে খুব সুখী পরিবার,Positive
ভালো ছিলো   ইন্ডিংটাও দারুন জায়গায় করেছে  ,Positive
সাউন্ড কোয়ালিটি খুবই খারাপ,Negative
অসম একটা নাটক যার পার্ট এক বা দুই দুটোই সুন্দর  ,Positive
সত্যি অসাধারন,Positive
আসসালামু আলাইকুম বন্ধুরা কেমন আছেন সবাই        Only me নাটকটির পিছনে আমাদের সম্পুর্ন টিম অনেক পরিশ্রম দিয়েছে  আশা করছি আপনাদের কাছে ভালো লাগবে  আর অবশ্যই আমাদের সবার জন্য আপনারা দোয়া রাখবেন যাতে করে অদূর ভবিষ্যতে আপনাদের আরও সুন্দর কাজ উপহার হিসেবে দিতে পারি  ভালো থাকবেন সবাই  ধন্যবাদ  ভালোবাসা অবিরাম ,Positive
আমি অনেক রাত জেগে এই নাট টা দেখেছি লাইফে যতটা নাটক ও অন্যয়ন বা অনেক ভালো কিছু দেখেছি তার মধ্যে অপুর্ব ভাইয়ের এই নাটক টা অনেক ভালো এবং পজিটিভ সমাজকে বদলানুর জন্ন এরকম নাটক অনেক প্রয়োজন যদিও বা নাটক টা অনেক আগে করা হইয়েছে সময়ের কারনে দেখা হলোনা আশা রাকি আগামি তে ও এরকম ভালো কিছু পাবো যাহা বর্তমান সমাজের এয়াংক যেনারেসন দের কিছুটা হলে ধূলা দেবে  so very very nice.                                           আমি ওমান প্রভাসি ,Positive
খুব খুব বে সি বে সি ভাল নাটক,Positive
এই মাগির পোলারা নাটকের সাউন্ড কই মিউজিক দিয়ে রাখছস কারো কথা বার্তা নাই   খানকির পোলারা তোদের মিডিয়াতে কাজ করতে কে বলেছে যা শালারা গুরু চড়াতে  ,Negative
অবুঝ  দিনের গল্প নাকটি এতো ভাল লেগেছে যা ভাষায় প্রকাশ করা যাবে না,Positive
নাটক টা জোশ ছিল__লাইক হবে,Positive
সত্যিই অসাধারন নাটক,Positive
অনেক ভালো লাগলো নাটক টা,Positive
অসাধারণ একটি নাটক শামীম ও সাবিনা নূর অভিনয়টা ভেরি নাইস,Positive
পাবলিক পেজে লেংলাটা বাহির হলে problem হয় না কিন্তু তা কেউ ডেকে দিলে সেই লোক টা খারাপ,Negative
নামাজকে প্রাধান্য দিয়েছে এটা অনেক ভালো লেগেছে ,Positive
অসাধারণ নাটক,Positive
অসাধারণ নাটক নিশো তানজিন তিসার  অভিনয় খুব ভালো,Positive
এই নাটকে ডিসলাইক দেয়া প্রতিবন্ধী দের জদি ১বার দেখার সজুগ হইত,Negative
অসাধারন ভাই   বিশেষ করে নামাজ পড়ার বিষয়টা,Positive
ভাল নাটক অভিনন্দন আপনাকে সুন্দর নাটক উপহার দেয়ার জন্য ,Positive
প্রথমেই পরিচালককে অনেক ধন্যবাদ এত সুন্দর একটা নাটক উপহার দেয়ার জন্য বেশির ভাগ নাটকে আমরা অভিনেত্রী-অভিনেতার ছ্যাবলামি দেখি   সে তুলনায় এটা একটু আলাদা  এই নাটকে হাসি  আনন্দ -বেদনার ছাড়াও একটা বার্তা আছে যা অন্য সব নাটকে দেখা যায়না পরিশেষে শুভকামনা রইল ,Positive
নাটকটা খুব সুন্দর হয়েছে,Positive
অনেক  অনেক অনেক ভালো লাগার মতো নাটক  বিশেষ করে নামাজের কথাটা বলায় অনেক ভালো ছিলো ,Positive
মিশু ভাই অসাধারণ সুপার,Positive
পাগল ছাগল,Negative
ভাই ভালো হয় নাই  নিশো ভাই এরকম নাটক করবেন না  কোন গল্প হলো এটা  ভিত্তিহীন ,Negative
অসাধারণ  এরকম নাটক সব সময় চাইএর আগের টা ও দেখেছি     রিসর্টটা অনেক ভালো লাগছেদয়া করে বলবেন কি এই রির্সট টা কোথায়???,Positive
অসাধারণ নাটক,Positive
অনেক ভাল লাগছে দেখে নাটকটি,Positive
জাতি ধ্বংসের জন্য এমন নাটক খুব প্রয়োজন.,Negative
অসাধারণ নাটক,Positive
অনেক সুন্দর,Positive
জোশ একটা নাটক  পরিচালককে ধন্যবাদ এরকম ভালো মানের গল্পসমৃদ্ধ নাটক উপহার দেওয়ার জন্য ,Positive
সত্যিকারের বেয়াদপ গুলা এত সুন্দর শিক্ষণীয় নাটকে আনলাইক দিয়েছে  অসাধারণ একটা নাটক দেখলাম,Positive
বালের নাটক     আবালচোদা নাটক,Negative
রিয়াজ ভাই মানেই অসাধারন নাটক     ,Positive
কি বলবো!! অসাধারন লাগলো!!অনেকদিন পর এত সুন্দর একটা নাটক দেখলাম.... অসংখ্য ধন্যবাদ  মিজানুর রহমান অারিয়ান  সাহেব কে... এত সুন্দর নাটক উপহার দেওয়ার জন্য... নিশো বস্ & মেহ্জাবিন এর কথা আর কি বলবো!! বরাবরের মতই শেরা,Positive
নাটকে এমন ভুলভাল ইংলিশ স্ক্রিপ্ট দেয় ক্যামনে? It don't goes with you ইংলিশ এর মায়রে বাপ,Negative
